OBJECTID,Point_Count,BC,SDBC,BCNAAM,WOONMILIEU,TYPE,OPP,SD09,RAYONCENTR,AnalysisArea
1,2,00,A00,Burgwallen-Oude Zijde,1,1,40.54585859,A,S,0.40696926
2,2,01,A01,Burgwallen- Nieuwe Zijde,1,1,75.21362529,A,S,0.75495307
3,3,02,A02,Grachtengordel-West,1,1,63.60565642,A,W,0.63852087
4,2,03,A03,Grachtengordel-Zuid,1,1,51.87720121,A,Z,0.52039480
5,0,04,A04,Nieuwmarkt/Lastage,2,2,107.32663535,A,S,1.08561131
6,0,05,A05,Haarlemmerbuurt,2,2,81.82960116,A,W,0.82017099
7,0,06,A06,Jordaan,2,2,95.59455253,A,W,0.95921591
8,2,07,A07,Weteringschans,1,1,65.16400173,A,Z,0.65438960
9,1,08,A08,Weesperbuurt/Plantage,2,1,85.38038701,A,O,0.85734648
10,2,09,A09,Oostelijke Eilanden/Kadijken,2,2,137.72315197,A,O,1.37975753
11,6,10,B10,Westelijk Havengebied,0,0,2848.56785883,B, ,28.59172711
12,19,11,B11,Bedrijventerrein Sloterdijk,0,0,671.87522918,B, ,6.74339952
13,0,12,E12,Houthavens,0,0,89.20385431,E, ,0.89703408
14,0,13,E13,Spaarndammer- en Zeeheldenbuurt,1,1,139.51609466,E, ,1.40017619
15,0,14,E14,Staatsliedenbuurt,1,1,53.24085984,E, ,0.53669464
16,0,15,E15,Centrale Markt,2,2,57.50800978,E, ,0.57092057
17,1,16,E16,Frederik Hendrikbuurt,1,1,39.87083989,E, ,0.40039310
18,0,17,E17,Da Costabuurt,2,2,25.91369572,E, ,0.26011720
19,0,18,E18,Kinkerbuurt,1,1,26.90307431,E, ,0.27001735
20,0,19,E19,Van Lennepbuurt,1,1,28.24259272,E, ,0.28348351
21,0,20,E20,Helmersbuurt,1,1,34.80427790,E, ,0.34933554
22,0,21,E21,Overtoomse Sluis,1,1,31.46373648,E, ,0.31580185
23,0,22,E22,Vondelbuurt,1,1,22.50557715,E, ,0.22589556
24,0,24,K24,Oude Pijp,1,1,67.38822837,K, ,0.67638684
25,1,25,K25,Nieuwe Pijp,1,1,54.39582196,K, ,0.54599635
26,0,26,K26,Diamantbuurt,2,2,39.23483531,K, ,0.39379150
27,0,27,M27,Weesperzijde,1,1,44.42714445,M, ,0.44592575
28,0,28,M28,Oosterparkbuurt,2,2,74.55169338,M, ,0.74866797
29,0,29,M29,Dapperbuurt,1,1,60.82845904,M, ,0.61057025
30,0,30,M30,Transvaalbuurt,1,1,37.72728050,M, ,0.37864782
31,0,31,M31,Indische Buurt West,1,1,48.49115222,M, ,0.48670165
32,1,32,M32,Indische Buurt Oost,2,2,131.65228070,M, ,1.31989850
33,4,33,M33,Oostelijk Havengebied,1,1,362.31135028,M, ,3.78501151
34,0,36,E36,Sloterdijk,0,0,50.32853445,E, ,0.50521730
35,1,37,E37,Landlust,3,3,107.66298263,E, ,1.08432517
36,0,38,E38,Erasmuspark,3,3,40.86108753,E, ,0.41041650
37,0,39,E39,De Kolenkit,4,4,75.44169210,E, ,0.74822059
38,0,40,E40,De Krommert,3,1,57.12847571,E, ,0.57340157
39,0,41,E41,Van Galenbuurt,2,3,31.21819844,E, ,0.31335144
40,0,42,E42,Hoofdweg e.o.,1,1,40.93860869,E, ,0.41091846
41,0,43,E43,Westindische buurt,3,1,34.11027722,E, ,0.34238439
42,0,44,K44,Hoofddorppleinbuurt,3,3,96.36285004,K, ,0.96652617
43,0,45,K45,Schinkelbuurt,1,1,34.55945768,K, ,0.34688902
44,1,46,K46,Willemspark,1,1,69.22981284,K, ,0.69486091
45,1,47,K47,Museumkwartier,1,1,131.99118166,K, ,1.32482861
46,2,48,K48,Stadionbuurt,2,2,107.36604073,K, ,1.07871243
47,1,49,K49,Apollobuurt,4,1,94.33897077,K, ,0.94690196
48,0,50,K50,Duivelseiland,1,1,6.11259996,K, ,0.06134979
49,0,52,K52,Scheldebuurt,2,2,137.13215019,K, ,1.37642269
50,0,53,K53,IJsselbuurt,2,2,29.03329579,K, ,0.29143050
51,1,54,K54,Rijnbuurt,2,4,111.03727786,K, ,1.11449170
52,4,55,M55,Frankendael,2,2,169.33953916,M, ,1.69183378
53,0,56,M56,Middenmeer,2,2,302.05659260,M, ,3.03185119
54,0,57,M57,Betondorp,2,2,114.24268602,M, ,1.13166553
55,4,58,M58,De Omval,1,1,320.56579338,M, ,3.24045988
56,1,59,K59,Station Zuid/WTC e.o.,2,4,124.61030398,K, ,1.25072748
57,0,60,N60,Volewijck,2,2,130.79758163,N, ,1.31258551
58,0,61,N61,IJplein/Vogelbuurt,3,3,145.96996028,N, ,1.44983158
59,0,62,N62,Tuindorp Nieuwendam,2,2,46.56229213,N, ,0.46736305
60,0,63,N63,Tuindorp Buiksloot,2,2,16.76874098,N, ,0.17190481
61,0,64,N64,Nieuwendammerdijk/Buiksloterdijk,2,2,45.22880887,N, ,0.45056005
62,0,65,N65,Tuindorp Oostzaan,3,3,172.20976834,N, ,1.72855956
63,0,66,N66,Oostzanerwerf,2,2,322.24121845,N, ,3.23451314
64,0,67,N67,Kadoelen,4,4,148.50567672,N, ,1.49064443
65,0,68,N68,Nieuwendam-Noord,4,4,196.45786140,N, ,1.97192239
66,0,69,N69,Buikslotermeer,3,2,342.32842819,N, ,3.43605077
67,0,70,N70,Banne Buiksloot,4,4,181.06077627,N, ,1.81736992
68,0,71,N71,Buiksloterham,0,0,385.65522096,N, ,3.87106255
69,0,72,N72,Nieuwendammerham,0,0,116.31957100,N, ,1.10150867
70,0,73,N73,Waterland,2,2,4109.89414465,N, ,41.08005250
71,0,75,F75,Spieringerhorn,0,0,233.97367180,F, ,2.34841474
72,1,76,F76,Slotermeer-Noordoost,4,4,99.48960456,F, ,1.00862186
73,0,77,F77,Slotermeer-Zuidwest,2,2,280.51545890,F, ,2.81733934
74,0,78,F78,Geuzenveld,4,4,140.85515052,F, ,1.41380543
75,0,79,F79,De Eendracht,4,4,240.92242496,F, ,2.41820193
76,0,80,F80,Lutkemeer/Ookmeer,3,3,567.29052464,F, ,5.69394477
77,1,81,F81,Osdorp-Oost,2,2,176.54979656,F, ,1.77207921
78,0,82,F82,Osdorp-Midden,4,3,111.25277088,F, ,1.11667384
79,0,83,F83,De Punt,2,2,59.43827877,F, ,0.59663412
80,0,84,F84,Middelveldse Akerpolder/Sloten,2,2,215.94599944,F, ,2.16756700
81,0,85,F85,Slotervaart,2,2,281.76652498,F, ,2.86896895
82,1,86,F86,Overtoomse veld,2,4,153.90667640,F, ,1.52687862
83,7,87,F87,Westlandgracht,2,3,150.01736504,F, ,1.48006247
84,5,88,F88,Sloter-/Riekerpolder,2,2,517.50195355,F, ,5.19445182
85,3,90,K90,Buitenveldert-West,2,2,435.48968761,K, ,4.37159835
86,4,91,K91,Buitenveldert-Oost,2,2,197.68534230,K, ,1.98419339
87,34,92,T92,Amstel III/Bullewijk,0,0,529.83996022,T, ,5.27201744
88,7,93,T93," Bijlmer Centrum (D,F,H)",1,1,311.74555996,T, ,3.15828310
89,1,94,T94,"Bijlmer Oost (E,G,K)",1,1,405.84428679,T, ,4.07350673
90,0,95,T95,Nellestein,1,1,294.77960853,T, ,2.95863410
91,1,96,T96,Holendrecht/Reigersbos,2,2,267.98365134,T, ,2.71287796
92,0,97,T97,Gein,2,2,193.07497582,T, ,1.93818388
93,0,98,T98,Driemond,4,4,200.45527217,T, ,2.01192672
94,0,34,M34,Zeeburg/Nieuwe Diep, ,0,460.30641591,M, ,4.57933702
95,0,51,M51,IJburg-Zuid, ,0,143.24386037,M, ,1.44708111
96,0,35,M35,IJburg-West, ,0,313.92780224,M, ,3.21751703
97,0,74,M74,IJburg-Oost, ,0,438.79900153,M, ,4.47008165
